speed_kmh,engine_rpm,throttle_pos,coolant_temp,fuel_level,intake_air_temp,label
128.19,4638.0,96.05,90.9,57.9,31.2,AGGRESSIVE
23.01,844.0,9.46,82.3,71.5,29.9,SLOW
143.44,6493.0,79.45,91.1,15.6,22.3,AGGRESSIVE
36.54,847.0,8.33,99.3,19.4,29.2,SLOW
25.62,1080.0,18.04,94.2,88.2,36.9,SLOW
48.22,2506.0,27.64,104.0,31.0,36.3,NORMAL
23.34,1135.0,10.32,97.8,99.9,30.0,SLOW
39.33,1467.0,19.52,87.2,80.7,43.6,SLOW
151.17,3734.0,93.85,100.2,98.5,45.2,AGGRESSIVE
73.99,2634.0,30.89,85.8,10.9,40.0,NORMAL
42.78,2838.0,49.01,85.2,98.6,32.1,NORMAL
132.46,3741.0,78.21,83.2,99.4,22.5,AGGRESSIVE
62.6,2766.0,32.1,103.2,58.4,44.4,NORMAL
26.36,806.0,13.75,93.7,27.6,26.2,SLOW
51.37,3440.0,43.07,93.0,94.3,35.4,NORMAL
64.85,2675.0,26.14,90.0,80.8,33.8,NORMAL
48.87,3216.0,31.65,83.2,26.9,21.6,NORMAL
77.22,2011.0,43.21,101.5,31.7,43.6,NORMAL
154.48,4973.0,70.12,88.8,57.9,40.3,AGGRESSIVE
49.6,3353.0,28.07,89.9,17.0,20.8,NORMAL
26.99,1830.0,16.05,103.7,48.4,20.7,SLOW
153.65,5514.0,60.36,104.8,96.8,49.3,AGGRESSIVE
44.21,3210.0,26.13,90.1,90.5,47.6,NORMAL
35.64,1353.0,13.91,88.6,42.2,41.3,SLOW
35.89,1015.0,16.61,104.1,11.4,38.7,SLOW
69.34,3084.0,42.68,84.3,91.0,40.3,NORMAL
70.16,3412.0,26.9,86.0,64.0,29.3,NORMAL
144.53,5879.0,86.16,85.4,39.9,35.0,AGGRESSIVE
85.69,4405.0,88.73,89.8,60.5,29.9,AGGRESSIVE
99.91,4521.0,97.09,88.4,86.6,45.6,AGGRESSIVE
67.44,3416.0,26.11,88.3,32.0,26.4,NORMAL
98.02,4645.0,96.86,81.5,39.0,23.9,AGGRESSIVE
73.48,2205.0,25.73,100.8,10.0,41.8,NORMAL
57.09,3184.0,35.66,84.2,99.8,22.0,NORMAL
20.27,1103.0,8.61,90.8,93.3,42.6,SLOW
61.74,2068.0,27.86,100.2,79.7,44.4,NORMAL
32.54,1824.0,16.1,97.3,16.2,23.7,SLOW
25.42,1008.0,11.1,83.0,61.8,40.6,SLOW
155.64,5126.0,95.86,92.7,20.8,31.7,AGGRESSIVE
86.33,5571.0,78.5,101.7,57.3,48.9,AGGRESSIVE
71.63,2637.0,39.66,84.5,27.5,30.6,NORMAL
24.96,1965.0,6.8,93.8,14.9,41.1,SLOW
42.69,2598.0,29.65,98.9,90.8,37.0,NORMAL
20.17,959.0,8.59,103.5,42.2,37.2,SLOW
82.63,5274.0,69.57,103.7,64.3,48.4,AGGRESSIVE
33.19,1918.0,8.28,99.6,10.1,38.7,SLOW
88.15,5512.0,79.53,103.7,41.5,30.9,AGGRESSIVE
34.23,1812.0,13.74,80.1,59.6,33.2,SLOW
147.04,3540.0,67.86,81.8,37.5,38.5,AGGRESSIVE
78.4,2246.0,45.69,96.8,85.6,49.3,NORMAL
125.85,3903.0,93.26,100.3,46.1,22.7,AGGRESSIVE
27.18,1473.0,16.21,80.7,80.0,35.8,SLOW
34.17,1853.0,16.64,81.9,63.7,22.1,SLOW
75.44,3426.0,33.1,100.3,81.5,27.7,NORMAL
25.94,1721.0,11.81,92.7,14.0,28.6,SLOW
130.97,4401.0,94.82,101.5,14.3,41.4,AGGRESSIVE
62.08,3347.0,20.01,91.8,67.4,39.1,NORMAL
47.62,2224.0,42.43,97.3,36.5,23.9,NORMAL
141.7,3564.0,93.06,84.9,98.8,35.0,AGGRESSIVE
76.5,3279.0,46.98,85.4,34.5,45.7,NORMAL
92.35,4753.0,71.86,87.7,56.6,29.8,AGGRESSIVE
33.24,1301.0,8.83,103.5,28.6,29.9,SLOW
38.5,1607.0,14.71,81.7,17.0,38.3,SLOW
82.26,3507.0,94.6,101.1,57.1,46.4,AGGRESSIVE
28.91,1907.0,10.18,87.7,77.8,41.5,SLOW
31.83,1993.0,19.17,80.9,17.6,30.3,SLOW
92.96,5242.0,74.34,80.0,48.9,48.6,AGGRESSIVE
32.23,1647.0,7.39,93.5,73.2,28.1,SLOW
92.83,4602.0,70.16,100.3,53.4,34.1,AGGRESSIVE
77.74,3432.0,46.07,98.9,56.4,34.4,NORMAL
21.17,1902.0,19.29,92.5,24.2,45.1,SLOW
76.41,3330.0,31.54,100.3,95.3,20.6,NORMAL
21.83,1035.0,17.53,99.9,74.7,23.3,SLOW
54.62,2350.0,20.55,87.2,39.7,38.3,NORMAL
51.01,3474.0,20.7,86.7,80.9,34.7,NORMAL
44.89,2234.0,35.35,86.7,73.2,37.1,NORMAL
21.11,1487.0,11.14,83.2,69.8,40.8,SLOW
59.62,3324.0,40.37,87.9,55.1,25.4,NORMAL
151.26,4793.0,87.6,81.3,38.6,27.4,AGGRESSIVE
42.69,2475.0,25.72,96.7,64.7,47.8,NORMAL
39.6,887.0,10.51,91.3,25.3,46.7,SLOW
35.33,1205.0,13.26,97.4,79.6,23.8,SLOW
20.89,1746.0,6.73,83.9,37.0,45.6,SLOW
46.61,3161.0,34.76,93.6,83.6,41.4,NORMAL
94.07,4123.0,62.43,84.3,85.1,31.0,AGGRESSIVE
44.46,2352.0,45.94,85.1,36.0,36.5,NORMAL
69.77,3056.0,40.13,98.3,69.2,48.0,NORMAL
74.35,2489.0,24.4,104.1,88.4,21.7,NORMAL
139.09,3879.0,84.16,82.6,67.2,37.0,AGGRESSIVE
29.39,1880.0,12.56,92.3,35.9,21.8,SLOW
29.48,990.0,18.59,98.9,95.1,21.6,SLOW
57.03,3362.0,21.56,89.0,74.7,26.0,NORMAL
141.58,5010.0,87.93,97.1,59.9,38.8,AGGRESSIVE
100.8,6496.0,83.32,91.7,95.5,34.9,AGGRESSIVE
46.12,2955.0,27.15,93.6,99.1,36.0,NORMAL
58.14,2996.0,24.43,97.2,84.7,31.6,NORMAL
33.36,859.0,18.48,100.0,65.8,25.1,SLOW
125.98,4606.0,97.09,86.1,91.8,21.0,AGGRESSIVE
36.69,1136.0,12.02,82.3,96.3,25.7,SLOW
81.3,5238.0,90.19,102.0,97.6,42.3,AGGRESSIVE
114.81,5120.0,62.22,103.5,57.5,31.7,AGGRESSIVE
150.93,4875.0,95.5,97.8,31.2,24.5,AGGRESSIVE
53.14,2920.0,48.67,104.6,67.4,27.2,NORMAL
98.45,3748.0,61.78,102.7,78.6,36.3,AGGRESSIVE
159.57,5438.0,74.98,103.5,36.2,47.8,AGGRESSIVE
37.62,1444.0,7.68,80.3,12.6,43.3,SLOW
56.67,2030.0,35.47,89.2,10.7,42.6,NORMAL
30.66,897.0,5.56,104.3,31.5,37.3,SLOW
36.12,1259.0,17.8,92.1,54.3,31.3,SLOW
25.52,1516.0,7.66,88.2,69.9,44.6,SLOW
137.41,5324.0,96.04,82.5,40.2,44.0,AGGRESSIVE
24.99,1429.0,18.05,98.5,53.4,34.7,SLOW
20.06,1264.0,16.04,88.0,51.6,40.7,SLOW
121.79,5308.0,85.03,80.2,65.7,49.7,AGGRESSIVE
58.15,3110.0,34.54,104.1,89.6,48.8,NORMAL
157.81,5205.0,64.85,90.5,64.2,38.9,AGGRESSIVE
138.01,6150.0,87.94,101.6,29.1,31.4,AGGRESSIVE
43.83,2915.0,32.7,82.6,71.5,41.6,NORMAL
73.01,2956.0,48.88,98.4,82.5,47.9,NORMAL
146.74,3550.0,89.08,92.6,34.0,20.6,AGGRESSIVE
70.54,2483.0,46.14,90.6,58.5,41.8,NORMAL
152.31,4419.0,62.28,101.4,33.8,24.9,AGGRESSIVE
27.85,1869.0,7.88,85.7,16.5,28.7,SLOW
141.98,4376.0,66.31,93.1,28.6,49.0,AGGRESSIVE
24.21,1847.0,16.42,88.0,47.3,26.9,SLOW
46.02,2699.0,22.58,93.0,21.3,39.2,NORMAL
87.06,4809.0,97.62,89.5,12.2,41.7,AGGRESSIVE
23.94,1894.0,17.14,93.7,17.9,35.8,SLOW
66.42,2870.0,45.73,87.2,61.4,25.1,NORMAL
131.62,6230.0,64.51,99.2,28.2,36.9,AGGRESSIVE
71.62,3485.0,38.83,83.2,40.7,33.6,NORMAL
23.74,1075.0,7.44,90.6,78.1,20.4,SLOW
139.28,5855.0,97.3,95.1,43.8,48.2,AGGRESSIVE
24.52,1572.0,11.69,102.4,27.8,25.8,SLOW
42.69,2518.0,30.49,93.9,37.4,35.2,NORMAL
113.25,4176.0,72.24,82.3,41.7,27.4,AGGRESSIVE
40.94,3389.0,31.95,103.6,71.4,49.2,NORMAL
38.03,1043.0,17.19,86.5,95.7,40.2,SLOW
21.64,1187.0,13.1,83.3,12.6,49.2,SLOW
38.13,1521.0,15.04,94.4,58.1,26.6,SLOW
37.57,1013.0,15.63,91.0,98.9,38.8,SLOW
31.88,892.0,10.14,90.4,95.8,34.0,SLOW
29.72,1492.0,5.57,97.7,58.2,46.9,SLOW
103.05,5917.0,82.8,90.2,41.3,39.0,AGGRESSIVE
37.93,1122.0,19.75,101.3,58.2,24.6,SLOW
57.0,2440.0,46.04,101.2,56.8,39.5,NORMAL
31.85,1725.0,16.31,87.1,26.6,32.1,SLOW
31.58,1623.0,12.61,88.4,29.9,30.1,SLOW
91.72,4973.0,78.75,102.4,26.5,36.7,AGGRESSIVE
67.2,3279.0,31.79,93.5,47.3,34.7,NORMAL
63.81,2893.0,31.97,88.1,14.2,24.2,NORMAL
32.51,1138.0,15.03,105.0,52.4,26.2,SLOW
99.7,3753.0,73.3,84.0,55.2,41.0,AGGRESSIVE
33.62,1677.0,16.2,95.7,12.2,26.5,SLOW
21.46,1139.0,14.4,81.4,99.9,28.1,SLOW
24.66,1179.0,7.39,87.1,84.2,37.2,SLOW
37.87,1605.0,16.72,80.8,40.7,38.5,SLOW
74.66,3152.0,46.76,95.9,40.1,30.8,NORMAL
133.88,5811.0,68.74,95.6,35.2,20.8,AGGRESSIVE
154.63,4079.0,71.67,89.2,77.9,30.7,AGGRESSIVE
84.1,5919.0,93.58,90.2,60.6,47.7,AGGRESSIVE
145.15,6231.0,70.06,97.2,88.6,50.0,AGGRESSIVE
85.91,4793.0,67.01,99.0,94.9,28.8,AGGRESSIVE
117.14,5106.0,91.47,99.4,79.8,38.6,AGGRESSIVE
71.62,3246.0,38.6,105.0,90.2,41.9,NORMAL
139.02,5322.0,91.83,104.0,74.6,39.1,AGGRESSIVE
51.45,3054.0,28.76,89.3,10.7,32.0,NORMAL
79.91,2527.0,28.67,104.8,84.2,43.8,NORMAL
38.51,1840.0,13.0,89.7,60.8,45.7,SLOW
99.59,5870.0,77.46,100.6,66.0,43.7,AGGRESSIVE
69.79,2411.0,48.97,94.9,69.1,23.6,NORMAL
56.82,3204.0,32.51,85.7,83.8,37.2,NORMAL
121.55,6205.0,82.97,82.5,33.3,35.3,AGGRESSIVE
71.75,2084.0,22.1,98.9,97.8,31.9,NORMAL
77.93,3325.0,27.56,88.9,24.3,23.4,NORMAL
75.92,2552.0,35.21,100.2,21.8,24.7,NORMAL
61.98,3306.0,20.94,89.7,38.3,48.9,NORMAL
52.37,2784.0,26.14,86.6,97.2,23.6,NORMAL
33.62,1261.0,14.59,102.9,77.6,32.3,SLOW
39.66,1095.0,14.55,87.8,40.9,27.6,SLOW
28.22,1187.0,16.85,101.0,69.9,48.5,SLOW
149.15,4827.0,95.12,103.7,38.8,36.3,AGGRESSIVE
21.62,1907.0,13.16,86.3,36.9,39.9,SLOW
105.41,4494.0,83.25,84.9,58.3,35.7,AGGRESSIVE
50.7,3209.0,49.57,86.9,95.2,47.8,NORMAL
36.86,1850.0,6.51,101.9,49.0,42.2,SLOW
111.58,4917.0,63.91,85.6,27.4,27.9,AGGRESSIVE
63.22,2234.0,23.63,87.7,47.1,38.2,NORMAL
133.88,3802.0,60.56,100.8,80.2,34.9,AGGRESSIVE
37.43,1471.0,15.26,95.2,23.5,46.3,SLOW
100.86,6340.0,62.08,96.5,77.7,39.7,AGGRESSIVE
51.04,3171.0,31.33,87.9,94.0,35.1,NORMAL
114.76,6267.0,64.07,85.2,52.4,38.3,AGGRESSIVE
32.13,1425.0,12.17,97.3,59.6,33.2,SLOW
82.67,4573.0,69.98,99.3,89.6,33.0,AGGRESSIVE
119.17,4984.0,85.32,80.1,36.3,22.7,AGGRESSIVE
23.73,1851.0,9.91,87.4,89.8,45.6,SLOW
39.57,821.0,7.72,87.4,90.1,22.7,SLOW
99.0,3900.0,67.94,101.3,59.4,41.2,AGGRESSIVE
88.56,6228.0,62.2,97.4,59.2,39.7,AGGRESSIVE
153.43,3938.0,71.44,80.1,80.4,25.3,AGGRESSIVE
60.89,2834.0,37.44,99.2,19.1,44.6,NORMAL
119.19,3838.0,78.54,92.5,66.2,43.0,AGGRESSIVE
32.38,1934.0,11.36,103.6,38.4,28.3,SLOW
68.77,3491.0,22.37,89.3,25.4,50.0,NORMAL
31.85,1091.0,7.36,89.8,76.3,31.0,SLOW
70.05,2919.0,32.67,89.6,73.1,35.5,NORMAL
25.2,860.0,18.37,82.7,86.5,43.8,SLOW
35.94,1404.0,16.28,89.6,48.3,37.0,SLOW
75.1,2453.0,46.52,90.7,79.6,48.0,NORMAL
52.83,3438.0,27.71,96.7,22.2,35.1,NORMAL
39.57,1823.0,14.22,102.5,21.0,38.2,SLOW
25.87,1502.0,14.92,100.2,82.1,27.0,SLOW
22.72,1004.0,17.02,89.0,28.7,32.8,SLOW
51.31,2540.0,27.29,86.2,86.7,45.5,NORMAL
76.49,2446.0,49.1,102.0,85.1,32.2,NORMAL
39.24,1721.0,12.24,104.4,68.8,38.5,SLOW
30.78,1014.0,11.51,99.8,11.3,26.6,SLOW
62.88,2586.0,28.58,90.3,68.5,25.0,NORMAL
39.81,1171.0,5.06,86.2,27.9,46.9,SLOW
148.24,3854.0,90.07,103.7,48.0,34.7,AGGRESSIVE
153.99,5335.0,90.69,104.0,80.8,27.0,AGGRESSIVE
26.76,1699.0,5.13,85.8,21.8,32.0,SLOW
23.02,1641.0,18.6,96.6,42.6,45.2,SLOW
39.85,884.0,12.36,94.1,27.4,21.1,SLOW
95.89,4270.0,69.07,85.7,63.7,23.8,AGGRESSIVE
39.59,1006.0,11.69,98.6,64.7,49.9,SLOW
154.81,3710.0,76.59,87.7,88.8,28.0,AGGRESSIVE
71.97,2069.0,43.41,83.3,25.4,26.1,NORMAL
115.62,6154.0,98.62,98.3,33.0,26.8,AGGRESSIVE
131.92,3665.0,61.28,101.8,31.5,33.4,AGGRESSIVE
97.81,6142.0,68.08,86.8,43.5,21.5,AGGRESSIVE
85.17,3988.0,84.82,89.0,28.0,25.8,AGGRESSIVE
32.46,1785.0,7.04,102.0,15.5,23.1,SLOW
116.59,4712.0,91.75,101.4,77.4,26.9,AGGRESSIVE
20.78,1349.0,17.48,85.4,50.2,39.4,SLOW
32.18,1342.0,16.89,99.0,22.5,24.3,SLOW
65.23,2094.0,46.42,98.3,49.9,43.9,NORMAL
68.35,2089.0,38.82,88.9,22.1,37.2,NORMAL
38.44,1287.0,10.35,80.8,20.2,42.1,SLOW
22.29,1435.0,18.76,100.7,26.0,39.4,SLOW
54.6,3438.0,34.56,82.2,27.3,31.5,NORMAL
159.81,3852.0,90.13,97.8,74.1,28.8,AGGRESSIVE
92.18,4825.0,65.01,92.5,97.2,36.9,AGGRESSIVE
32.96,1687.0,14.36,94.6,37.5,38.0,SLOW
59.71,3109.0,33.63,97.9,74.3,39.5,NORMAL
32.47,890.0,7.93,97.7,92.5,28.5,SLOW
38.03,1515.0,14.08,97.5,28.0,24.7,SLOW
123.52,6496.0,98.94,96.3,64.0,21.9,AGGRESSIVE
38.53,1954.0,11.25,101.7,84.8,44.4,SLOW
123.66,3792.0,65.76,100.1,42.4,39.3,AGGRESSIVE
64.47,2898.0,40.43,89.4,39.6,27.8,NORMAL
35.6,936.0,8.65,103.3,41.4,36.0,SLOW
30.12,1978.0,12.99,92.5,23.2,23.4,SLOW
32.18,1207.0,18.67,97.9,87.1,35.1,SLOW
46.37,3210.0,31.27,89.2,10.6,37.6,NORMAL
28.52,823.0,12.43,87.4,52.2,24.0,SLOW
62.53,3309.0,34.44,89.8,41.7,46.4,NORMAL
37.47,1039.0,15.86,89.6,35.2,43.0,SLOW
97.87,5490.0,62.99,86.9,84.8,48.6,AGGRESSIVE
91.86,5769.0,76.97,103.6,53.9,44.5,AGGRESSIVE
38.2,1491.0,9.18,81.6,39.7,28.5,SLOW
75.24,2555.0,46.34,90.6,10.2,29.1,NORMAL
70.8,2189.0,48.47,91.9,73.3,32.3,NORMAL
72.16,2385.0,21.53,100.0,94.3,25.9,NORMAL
26.42,1475.0,12.97,91.1,43.1,24.2,SLOW
70.25,2207.0,40.18,92.2,19.7,40.2,NORMAL
152.99,3940.0,91.38,84.3,27.2,21.7,AGGRESSIVE
61.99,2130.0,48.99,89.4,77.6,28.4,NORMAL
32.4,1635.0,17.73,99.5,55.0,29.9,SLOW
35.99,1939.0,14.63,83.2,89.0,24.8,SLOW
117.34,6046.0,85.82,89.0,96.0,31.2,AGGRESSIVE
43.01,3459.0,48.13,80.9,61.3,39.2,NORMAL
123.6,5848.0,68.6,89.6,77.5,25.7,AGGRESSIVE
70.28,2855.0,29.32,93.2,61.2,22.7,NORMAL
64.36,2122.0,43.14,91.6,36.4,33.0,NORMAL
106.36,4219.0,63.2,90.4,59.9,35.7,AGGRESSIVE
38.17,809.0,19.49,88.8,25.0,48.1,SLOW
53.57,2509.0,26.47,84.9,26.2,49.1,NORMAL
90.78,4385.0,97.28,86.4,64.4,43.1,AGGRESSIVE
39.75,1979.0,12.17,84.5,33.1,21.8,SLOW
21.93,1172.0,6.57,104.4,89.9,22.3,SLOW
42.66,2053.0,49.75,90.7,40.5,31.2,NORMAL
74.61,2049.0,42.04,81.7,44.7,49.4,NORMAL
39.73,1947.0,16.08,94.5,88.7,29.4,SLOW
42.3,3143.0,46.43,99.4,56.9,39.3,NORMAL
115.31,5915.0,72.55,87.8,75.6,39.9,AGGRESSIVE
37.69,923.0,18.49,103.5,99.2,31.9,SLOW
87.36,4765.0,61.95,87.0,93.1,48.8,AGGRESSIVE
22.46,1044.0,17.01,87.6,27.0,33.9,SLOW
29.79,1691.0,17.72,89.9,42.5,24.7,SLOW
31.38,1935.0,17.07,90.6,28.6,40.0,SLOW
35.73,1904.0,15.04,91.8,46.0,28.6,SLOW
76.09,3180.0,48.65,95.3,72.9,22.2,NORMAL
57.7,3344.0,25.49,91.9,40.4,30.7,NORMAL
21.1,1785.0,7.65,102.4,79.6,24.9,SLOW
115.59,5769.0,61.82,90.2,51.3,24.5,AGGRESSIVE
111.39,4153.0,62.38,96.0,37.0,27.9,AGGRESSIVE
141.12,6428.0,63.85,91.0,20.0,34.6,AGGRESSIVE
34.26,1994.0,9.31,90.2,28.4,33.4,SLOW
51.88,2150.0,41.0,99.8,88.0,26.1,NORMAL
56.24,2638.0,41.98,90.0,62.2,28.1,NORMAL
68.44,2957.0,48.58,98.0,77.3,35.7,NORMAL
32.39,1071.0,17.51,92.4,49.9,43.1,SLOW
68.39,2936.0,45.97,90.8,15.0,43.8,NORMAL
152.81,4160.0,64.46,98.6,69.6,32.5,AGGRESSIVE
32.66,1823.0,11.19,83.8,85.2,29.0,SLOW
146.9,4734.0,75.47,98.0,87.4,34.4,AGGRESSIVE
27.88,1054.0,6.96,96.9,58.0,47.8,SLOW
59.43,2604.0,38.46,97.8,49.8,28.1,NORMAL
28.35,1214.0,13.41,103.9,43.1,45.4,SLOW
21.06,848.0,13.95,93.4,73.5,31.2,SLOW
139.34,3876.0,76.57,92.9,93.2,46.5,AGGRESSIVE
55.82,3445.0,22.58,98.5,81.1,25.0,NORMAL
77.62,2687.0,44.72,89.6,32.7,26.1,NORMAL
31.09,1761.0,14.95,91.2,12.8,38.3,SLOW
25.33,1520.0,6.7,88.2,53.6,34.5,SLOW
20.3,1826.0,6.16,103.3,23.0,24.6,SLOW
